term	reading	rank	normalized_form
人々	ヒトビト	864	人々
どれ	ドレ	865	どれ
現実	ゲンジツ	866	現実
感覚	カンカク	867	感覚
正しい	タダシイ	868	正しい
未来	ミライ	869	未来
興味	キョウミ	870	興味
遠い	トオイ	871	遠い
ながらも	ナガラモ	872	ながらも
本人	ホンニン	873	本人
能力	ノウリョク	874	能力
あの人	アノヒト	875	あの人
っぽい	ッポイ	876	ぽい
それでは	ソレデハ	877	それでは
と言った	トイッタ	878	と言った
その場	ソノバ	879	その場
事情	ジジョウ	880	事情
暗い	クライ	881	暗い
あそこ	アソコ	882	彼処
んで	ンデ	883	で
休む	ヤスム	884	休む
一緒	イッショ	885	一緒
おかげで	オカゲデ	886	おかげで
なさる	ナサル	887	為さる
息	イキ	888	息
これまで	コレマデ	889	これまで
予定	ヨテイ	890	予定
伝わる	ツタワル	891	伝わる
距離	キョリ	892	距離
どうせ	ドウセ	893	どうせ
多く	オオク	894	多い
残念	ザンネン	895	残念
ま	マ	896	まー
終える	オエル	897	終える
覚悟	カクゴ	898	覚悟
勉強	ベンキョウ	899	勉強
さすが	サスガ	900	流石
上	ジョウ	901	上
分	フン	902	分
風	フウ	903	風
だけに	ダケニ	905	だけに
自信	ジシン	906	自信
我慢	ガマン	907	我慢
相談	ソウダン	908	相談
死	シ	909	死
増える	フエル	910	増える
離す	ハナス	911	離す
半分	ハンブン	912	半分
人物	ジンブツ	913	人物
回る	マワル	914	回る
親	オヤ	915	親
弱い	ヨワイ	916	弱い
っけ	ッケ	917	け
立てる	タテル	918	立てる
この人	コノヒト	919	この人
といった	トイッタ	920	といった
降りる	オリル	921	下りる
打つ	ウツ	922	打つ
席	セキ	923	席
経験	ケイケン	924	経験
よろしく	ヨロシク	925	宜しく
すっかり	スッカリ	926	すっかり
現在	ゲンザイ	927	現在
広がる	ヒロガル	928	広がる
に対する	ニタイスル	929	に対する
振る	フル	930	振る
集める	アツメル	931	集める
当たる	アタル	932	当たる
直接	チョクセツ	933	直接
数	カズ	934	数
明るい	アカルイ	935	明るい
ということは	トイウコトハ	936	ということは
件	ケン	937	件
当たり前	アタリマエ	938	当たり前
お金	オカネ	939	お金
抱える	カカエル	940	抱える
連れる	ツレル	941	連れる
他人	タニン	942	他人
母親	ハハオヤ	943	母親
忙しい	イソガシイ	944	忙しい
寂しい	サビシイ	945	寂しい
くださる	クダサル	946	下さる
どうか	ドウカ	947	どうか
誘う	サソウ	948	誘う
いたす	イタス	949	致す
立場	タチバ	950	立場
そのため	ソノタメ	951	そのため
他に	ホカニ	952	他に
大好き	ダイスキ	953	大好き
協力	キョウリョク	954	協力
抜ける	ヌケル	955	抜ける
持ってくる	モッテクル	956	持ってくる
のみ	ノミ	957	のみ
詳しい	クワシイ	958	詳しい
押す	オス	959	押す
愛	アイ	960	愛
だす	ダス	961	出す
もつ	モツ	962	もつ
変化	ヘンカ	963	変化
男性	ダンセイ	964	男性
ような気がする	ヨウナキガスル	965	ような気がする
車	クルマ	966	車
断る	コトワル	967	断る
利用	リヨウ	968	利用
熱	ネツ	969	熱
というもの	トイウモノ	970	というもの
抱く	イダク	971	抱く
苦しい	クルシイ	972	苦しい
最高	サイコウ	973	最高
満足	マンゾク	974	満足
無視	ムシ	975	無視
余計	ヨケイ	976	余計
一気に	イッキニ	977	一気に
どちら	ドチラ	978	どちら
成功	セイコウ	979	成功
限り	カギリ	980	限り
代わりに	カワリニ	981	代わりに
ではないか	デハナイカ	982	ではないか
父親	チチオヤ	983	父親
